start_time,axis1,axis2,axis3,steps,lux
2012-04-17 13:00:00,797,1280,571,11,797
2012-04-17 13:01:00,2288,3041,2024,16,2288
2012-04-17 13:02:00,3645,3839,3993,47,3645
2012-04-17 13:03:00,7836,7336,6204,75,7836
2012-04-17 13:04:00,3544,3656,3010,38,3544
2012-04-17 13:05:00,494,2250,1559,9,494
2012-04-17 13:06:00,304,1004,199,8,304
2012-04-17 13:07:00,924,1296,649,5,924
2012-04-17 13:08:00,71,345,2,3,71
2012-04-17 13:09:00,2217,4171,4617,15,2217
2012-04-17 13:10:00,994,1632,1022,8,994
2012-04-17 13:11:00,269,520,259,4,269
2012-04-17 13:12:00,398,1314,486,6,398
2012-04-17 13:13:00,289,322,416,1,289
2012-04-17 13:14:00,22,158,75,1,22
2012-04-17 13:15:00,0,92,43,0,0
2012-04-17 13:16:00,125,602,124,4,125
2012-04-17 13:17:00,461,1205,295,8,461
2012-04-17 13:18:00,547,963,297,9,547
2012-04-17 13:19:00,433,628,139,11,433
2012-04-17 13:20:00,635,1153,359,11,635
2012-04-17 13:21:00,1712,2108,2784,11,1712
2012-04-17 13:22:00,4298,3798,5101,31,4298
2012-04-17 13:23:00,806,1116,2129,5,806
2012-04-17 13:24:00,1650,1688,2919,9,1650
2012-04-17 13:25:00,28,496,1720,1,28
2012-04-17 13:26:00,652,1173,2638,7,652
2012-04-17 13:27:00,1173,2055,2677,10,1173
2012-04-17 13:28:00,2172,2928,3146,27,2172
2012-04-17 13:29:00,823,1765,568,13,823
2012-04-17 13:30:00,288,460,269,8,288
2012-04-17 13:31:00,1334,2177,754,14,1334
2012-04-17 13:32:00,1629,2964,2843,19,1629
2012-04-17 13:33:00,1642,1819,1863,17,1642
2012-04-17 13:34:00,3862,4718,3199,20,3862
2012-04-17 13:35:00,2131,2748,2140,14,2131
2012-04-17 13:36:00,2212,2185,2679,19,2212
2012-04-17 13:37:00,2627,2824,3680,18,2627
2012-04-17 13:38:00,2561,3221,2304,21,2561
2012-04-17 13:39:00,3506,4346,3502,22,3506
2012-04-17 13:40:00,4071,4018,3839,26,4071
2012-04-17 13:41:00,1028,1318,671,4,1028
2012-04-17 13:42:00,549,557,521,4,549
2012-04-17 13:43:00,754,731,271,3,754
2012-04-17 13:44:00,1810,1976,838,9,1810
2012-04-17 13:45:00,741,2096,2267,12,741
2012-04-17 13:46:00,377,895,651,8,377
2012-04-17 13:47:00,1580,1728,1357,12,1580
2012-04-17 13:48:00,644,1212,627,6,644
2012-04-17 13:49:00,1041,864,821,8,1041
2012-04-17 13:50:00,579,1118,405,8,579
2012-04-17 13:51:00,353,282,276,1,353
2012-04-17 13:52:00,1573,1964,2222,19,1573
2012-04-17 13:53:00,3583,3511,3475,27,3583
2012-04-17 13:54:00,2541,3584,2644,26,2541
2012-04-17 13:55:00,1148,1430,667,6,1148
2012-04-17 13:56:00,2016,2458,1480,9,2016
2012-04-17 13:57:00,842,1377,521,5,842
2012-04-17 13:58:00,965,1113,699,7,965
2012-04-17 13:59:00,2308,2459,1118,8,2308
2012-04-17 14:00:00,4057,5338,5120,34,4057
2012-04-17 14:01:00,1218,1081,1434,13,1218
2012-04-17 14:02:00,3547,2775,2721,58,3547
2012-04-17 14:03:00,4031,3411,3823,41,4031
2012-04-17 14:04:00,4365,4840,4486,85,4365
2012-04-17 14:05:00,3371,2986,3177,108,3371
2012-04-17 14:06:00,5941,4545,4172,80,5941
2012-04-17 14:07:00,3855,3977,3605,104,3855
2012-04-17 14:08:00,1785,2381,2422,45,1785
2012-04-17 14:09:00,406,1313,1366,18,406
2012-04-17 14:10:00,3041,3623,2899,62,3041
2012-04-17 14:11:00,3137,2764,3062,103,3137
2012-04-17 14:12:00,3127,3220,3259,112,3127
2012-04-17 14:13:00,3843,3668,3618,77,3843
2012-04-17 14:14:00,2838,3494,2804,107,2838
2012-04-17 14:15:00,4254,2876,2302,121,4254
2012-04-17 14:16:00,4458,4375,3511,78,4458
2012-04-17 14:17:00,6639,4451,3554,88,6639
2012-04-17 14:18:00,6353,3988,4234,66,6353
2012-04-17 14:19:00,5263,4347,4849,47,5263
2012-04-17 14:20:00,5069,3588,3887,56,5069
2012-04-17 14:21:00,2852,2045,2453,79,2852
2012-04-17 14:22:00,12531,9869,7493,79,12531
2012-04-17 14:23:00,5549,4397,4272,76,5549
2012-04-17 14:24:00,3056,2842,2886,23,3056
2012-04-17 14:25:00,1790,2628,2122,14,1790
2012-04-17 14:26:00,922,1341,2591,6,922
2012-04-17 14:27:00,349,498,721,3,349
2012-04-17 14:28:00,2865,3427,3918,27,2865
2012-04-17 14:29:00,6328,6134,6975,32,6328
2012-04-17 14:30:00,5123,5470,4872,36,5123
2012-04-17 14:31:00,3883,5121,2909,14,3883
2012-04-17 14:32:00,2308,1204,1546,9,2308
2012-04-17 14:33:00,2183,1863,2050,11,2183
2012-04-17 14:34:00,6796,7293,5613,33,6796
2012-04-17 14:35:00,4337,3234,4242,19,4337
2012-04-17 14:36:00,5111,4548,4534,32,5111
2012-04-17 14:37:00,6537,4942,4581,45,6537
2012-04-17 14:38:00,1669,923,1167,8,1669
2012-04-17 14:39:00,1614,1566,1436,7,1614
2012-04-17 14:40:00,3440,5411,5296,29,3440
2012-04-17 14:41:00,4881,5741,6085,35,4881
2012-04-17 14:42:00,5132,5888,5979,28,5132
2012-04-17 14:43:00,5544,7345,8698,33,5544
2012-04-17 14:44:00,5880,6407,6488,46,5880
2012-04-17 14:45:00,5535,5233,5435,31,5535
2012-04-17 14:46:00,6200,5806,7161,38,6200
2012-04-17 14:47:00,6018,4720,4342,41,6018
2012-04-17 14:48:00,6027,6283,5148,39,6027
