start_time,axis1,axis2,axis3,steps
2015-02-08 14:00:00,2288,2081,3674,26
2015-02-08 14:01:00,2365,3143,5483,23
2015-02-08 14:02:00,3044,2486,3321,18
2015-02-08 14:03:00,1866,2707,7539,18
2015-02-08 14:04:00,2084,2566,3731,17
2015-02-08 14:05:00,864,896,1656,7
2015-02-08 14:06:00,139,414,475,4
2015-02-08 14:07:00,1399,993,974,6
2015-02-08 14:08:00,1003,1218,1334,7
2015-02-08 14:09:00,1374,1625,1212,3
2015-02-08 14:10:00,663,1795,2434,4
2015-02-08 14:11:00,2041,1685,1392,10
2015-02-08 14:12:00,662,566,890,13
2015-02-08 14:13:00,448,548,733,5
2015-02-08 14:14:00,2450,2249,2218,21
2015-02-08 14:15:00,1660,1830,2353,11
2015-02-08 14:16:00,1785,2610,4733,12
2015-02-08 14:17:00,2757,2661,3252,14
2015-02-08 14:18:00,3834,4044,3678,22
2015-02-08 14:19:00,7578,6300,5892,30
2015-02-08 14:20:00,4820,5251,5384,23
2015-02-08 14:21:00,6836,6148,7181,35
2015-02-08 14:22:00,5733,4965,5323,26
2015-02-08 14:23:00,2585,2209,2906,17
2015-02-08 14:24:00,3288,3645,3165,30
2015-02-08 14:25:00,2130,2564,2994,22
2015-02-08 14:26:00,783,877,2921,8
2015-02-08 14:27:00,678,715,1810,3
2015-02-08 14:28:00,402,467,2157,7
2015-02-08 14:29:00,1465,1232,2228,6
2015-02-08 14:30:00,367,630,1509,8
2015-02-08 14:31:00,919,1097,1161,5
2015-02-08 14:32:00,1124,1156,1526,6
2015-02-08 14:33:00,1460,2174,2171,11
2015-02-08 14:34:00,22,16,89,1
2015-02-08 14:35:00,248,239,1432,1
2015-02-08 14:36:00,148,791,2745,5
2015-02-08 14:37:00,84,143,841,2
2015-02-08 14:38:00,347,230,1200,5
2015-02-08 14:39:00,76,51,488,1
2015-02-08 14:40:00,1193,1584,1836,6
2015-02-08 14:41:00,155,175,694,4
2015-02-08 14:42:00,142,181,1051,2
2015-02-08 14:43:00,293,401,1881,2
2015-02-08 14:44:00,55,584,2718,1
2015-02-08 14:45:00,62,125,774,2
2015-02-08 14:46:00,414,1221,1847,3
2015-02-08 14:47:00,741,1247,2438,4
2015-02-08 14:48:00,100,280,1818,1
2015-02-08 14:49:00,44,9,137,1
2015-02-08 14:50:00,0,29,20,0
2015-02-08 14:51:00,1256,1361,2414,10
2015-02-08 14:52:00,680,17,1456,17
2015-02-08 14:53:00,157,90,699,5
2015-02-08 14:54:00,22,241,958,0
2015-02-08 14:55:00,184,486,1475,1
2015-02-08 14:56:00,698,733,2015,14
2015-02-08 14:57:00,53,255,1837,1
2015-02-08 14:58:00,152,394,1067,4
2015-02-08 14:59:00,1356,2113,2765,10
2015-02-08 15:00:00,710,1826,3477,6
2015-02-08 15:01:00,1741,2493,3139,23
2015-02-08 15:02:00,2471,1669,2684,29
2015-02-08 15:03:00,2348,2596,3497,29
2015-02-08 15:04:00,1027,2265,2831,9
2015-02-08 15:05:00,3664,4021,3930,16
2015-02-08 15:06:00,5751,5371,6146,26
2015-02-08 15:07:00,4128,3354,2877,13
2015-02-08 15:08:00,2428,1775,2474,38
2015-02-08 15:09:00,2200,1791,3478,20
2015-02-08 15:10:00,424,521,1366,7
2015-02-08 15:11:00,130,351,1381,2
2015-02-08 15:12:00,0,10,431,0
2015-02-08 15:13:00,3134,2634,3025,24
2015-02-08 15:14:00,2061,2381,4210,21
2015-02-08 15:15:00,550,305,365,3
2015-02-08 15:16:00,0,0,0,0
2015-02-08 15:17:00,1097,1206,1271,5
2015-02-08 15:18:00,210,215,391,1
2015-02-08 15:19:00,5,4,22,0
2015-02-08 15:20:00,2767,2084,2926,14
2015-02-08 15:21:00,3881,4596,5736,34
2015-02-08 15:22:00,3198,2207,2469,14
2015-02-08 15:23:00,5115,3327,2953,37
2015-02-08 15:24:00,6643,3625,2824,60
2015-02-08 15:25:00,3303,2043,1687,35
2015-02-08 15:26:00,734,305,903,10
2015-02-08 15:27:00,1449,1759,1059,6
2015-02-08 15:28:00,3164,1366,1125,7
2015-02-08 15:29:00,765,906,743,4
2015-02-08 15:30:00,2888,1590,1286,8
2015-02-08 15:31:00,3370,2421,1773,9
